Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Action,Time
BTC,BTCUSDT,TRADE,BUY,0.00082200000000000000,0.00000000000000000000,60803.00000000000000000000,0.00000000000000000000,-0.00000082200000000000,0.00082200000000000000,0.00082117800000000000,0.00224775000000000000,--,2024-08-03 23:42:55
USDT,BTCUSDT,TRADE,BUY,-49.98006600000000000000,0.00000000000000000000,60803.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-49.98006600000000000000,-49.98006600000000000000,5.31055717010000000000,--,2024-08-03 23:42:55
STRK,STRKUSDT,TRADE,BUY,10.00000000000000000000,0.00000000000000000000,0.44500000000000000000,0.00000000000000000000,-0.01000000000000000000,10.00000000000000000000,9.99000000000000000000,61.25868000000000000000,--,2024-08-02 07:30:21
USDT,STRKUSDT,TRADE,BUY,-4.45000000000000000000,0.00000000000000000000,0.44500000000000000000,0.00000000000000000000,0.00000000000000000000,-4.45000000000000000000,-4.45000000000000000000,55.29062317010000000000,--,2024-08-02 07:30:21
ATOM,ATOMUSDT,TRADE,BUY,1.77200000000000000000,0.00000000000000000000,5.64100000000000000000,0.00000000000000000000,-0.00177200000000000000,1.77200000000000000000,1.77022800000000000000,4.02996600000000000000,--,2024-08-02 07:30:21
USDT,ATOMUSDT,TRADE,BUY,-9.99585200000000000000,0.00000000000000000000,5.64100000000000000000,0.00000000000000000000,0.00000000000000000000,-9.99585200000000000000,-9.99585200000000000000,59.74062317010000000000,--,2024-08-02 07:30:21
FIL,FILUSDT,TRADE,BUY,2.46000000000000000000,0.00000000000000000000,4.05200000000000000000,0.00000000000000000000,-0.00246000000000000000,2.46000000000000000000,2.45754000000000000000,8.65134000000000000000,--,2024-08-02 07:27:22
USDT,FILUSDT,TRADE,BUY,-9.96792000000000000000,0.00000000000000000000,4.05200000000000000000,0.00000000000000000000,0.00000000000000000000,-9.96792000000000000000,-9.96792000000000000000,69.73647517010000000000,--,2024-08-02 07:27:22
ETHFI,ETHFIUSDT,TRADE,BUY,5.40000000000000000000,0.00000000000000000000,1.84910000000000000000,0.00000000000000000000,-0.00540000000000000000,5.40000000000000000000,5.39460000000000000000,20.73460000000000000000,--,2024-08-02 07:26:33
USDT,ETHFIUSDT,TRADE,BUY,-9.98514000000000000000,0.00000000000000000000,1.84910000000000000000,0.00000000000000000000,0.00000000000000000000,-9.98514000000000000000,-9.98514000000000000000,79.70439517010000000000,--,2024-08-02 07:26:33
SUI,SUIUSDT,TRADE,BUY,14.87000000000000000000,0.00000000000000000000,0.67220000000000000000,0.00000000000000000000,-0.01487000000000000000,14.87000000000000000000,14.85513000000000000000,76.83309000000000000000,--,2024-08-02 07:25:29
USDT,SUIUSDT,TRADE,BUY,-9.99561400000000000000,0.00000000000000000000,0.67220000000000000000,0.00000000000000000000,0.00000000000000000000,-9.99561400000000000000,-9.99561400000000000000,89.68953517010000000000,--,2024-08-02 07:25:29
NEAR,NEARUSDT,TRADE,BUY,2.09000000000000000000,0.00000000000000000000,4.77300000000000000000,0.00000000000000000000,-0.00209000000000000000,2.09000000000000000000,2.08791000000000000000,8.90109000000000000000,--,2024-08-02 07:24:21
USDT,NEARUSDT,TRADE,BUY,-9.97557000000000000000,0.00000000000000000000,4.77300000000000000000,0.00000000000000000000,0.00000000000000000000,-9.97557000000000000000,-9.97557000000000000000,99.68514917010000000000,--,2024-08-02 07:24:21
THETA,THETAUSDT,TRADE,BUY,7.65000000000000000000,0.00000000000000000000,1.30930000000000000000,0.00000000000000000000,-0.00765000000000000000,7.65000000000000000000,7.64235000000000000000,28.48577000000000000000,--,2024-08-02 07:23:27
USDT,THETAUSDT,TRADE,BUY,-10.01614500000000000000,0.00000000000000000000,1.30930000000000000000,0.00000000000000000000,0.00000000000000000000,-10.01614500000000000000,-10.01614500000000000000,109.66071917010000000000,--,2024-08-02 07:23:27
WLD,WLDUSDT,TRADE,BUY,5.01000000000000000000,0.00000000000000000000,1.98990000000000000000,0.00000000000000000000,-0.00501000000000000000,5.01000000000000000000,5.00499000000000000000,13.52646000000000000000,--,2024-08-02 07:20:04
USDT,WLDUSDT,TRADE,BUY,-9.96939900000000000000,0.00000000000000000000,1.98990000000000000000,0.00000000000000000000,0.00000000000000000000,-9.96939900000000000000,-9.96939900000000000000,119.67686417010000000000,--,2024-08-02 07:20:04
USDT,,TRANSFER_IN,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,129.59860000000000000000,129.59860000000000000000,129.64626317010000000000,--,2024-08-02 07:19:30
BTC,BTCUSDT,TRADE,BUY,0.00033900000000000000,0.00000000000000000000,55403.03000000000000000000,0.00000000000000000000,-0.00000033900000000000,0.00033900000000000000,0.00033866100000000000,0.00142657200000000000,--,2024-07-05 03:36:58
USDT,BTCUSDT,TRADE,BUY,-18.78162717000000000000,0.00000000000000000000,55403.03000000000000000000,0.00000000000000000000,0.00000000000000000000,-18.78162717000000000000,-18.78162717000000000000,0.04766317010000000000,--,2024-07-05 03:36:58
XAI,XAIUSDT,TRADE,SELL,-47.14000000000000000000,0.00000000000000000000,0.36753000000000000000,0.00000000000000000000,0.00000000000000000000,-47.14000000000000000000,-47.14000000000000000000,0.00871000000000000000,--,2024-07-03 01:46:54
USDT,XAIUSDT,TRADE,SELL,17.32536420000000000000,0.00000000000000000000,0.36753000000000000000,0.00000000000000000000,-0.01732536420000000000,17.32536420000000000000,17.30803883580000000000,18.82929034010000000000,--,2024-07-03 01:46:54
XAI,XAIUSDT,TRADE,SELL,-4.09000000000000000000,0.00000000000000000000,0.36753000000000000000,0.00000000000000000000,0.00000000000000000000,-4.09000000000000000000,-4.09000000000000000000,47.14871000000000000000,--,2024-07-03 01:46:54
USDT,XAIUSDT,TRADE,SELL,1.50319770000000000000,0.00000000000000000000,0.36753000000000000000,0.00000000000000000000,-0.00150319770000000000,1.50319770000000000000,1.50169450230000000000,1.52125150430000000000,--,2024-07-03 01:46:54
XAI,XAIUSDT,TRADE,BUY,21.29000000000000000000,0.00000000000000000000,0.46490000000000000000,0.00000000000000000000,-0.02129000000000000000,21.29000000000000000000,21.26871000000000000000,51.23871000000000000000,--,2024-06-24 11:10:15
USDT,XAIUSDT,TRADE,BUY,-9.89772100000000000000,0.00000000000000000000,0.46490000000000000000,0.00000000000000000000,0.00000000000000000000,-9.89772100000000000000,-9.89772100000000000000,0.01955700200000000000,--,2024-06-24 11:10:15
NEAR,NEARUSDT,TRADE,BUY,1.82000000000000000000,0.00000000000000000000,5.44690000000000000000,0.00000000000000000000,-0.00182000000000000000,1.82000000000000000000,1.81818000000000000000,6.81318000000000000000,--,2024-06-24 10:21:45
USDT,NEARUSDT,TRADE,BUY,-9.91335800000000000000,0.00000000000000000000,5.44690000000000000000,0.00000000000000000000,0.00000000000000000000,-9.91335800000000000000,-9.91335800000000000000,9.91727800200000000000,--,2024-06-24 10:21:45
FIL,FILUSDT,TRADE,BUY,2.36000000000000000000,0.00000000000000000000,4.20700000000000000000,0.00000000000000000000,-0.00236000000000000000,2.36000000000000000000,2.35764000000000000000,6.19380000000000000000,--,2024-06-24 10:21:17
USDT,FILUSDT,TRADE,BUY,-9.92852000000000000000,0.00000000000000000000,4.20700000000000000000,0.00000000000000000000,0.00000000000000000000,-9.92852000000000000000,-9.92852000000000000000,19.83063600200000000000,--,2024-06-24 10:21:17
EGLD,EGLDUSDT,TRADE,BUY,0.35600000000000000000,0.00000000000000000000,27.94000000000000000000,0.00000000000000000000,-0.00035600000000000000,0.35600000000000000000,0.35564400000000000000,0.86713200000000000000,--,2024-06-24 10:20:57
USDT,EGLDUSDT,TRADE,BUY,-9.94664000000000000000,0.00000000000000000000,27.94000000000000000000,0.00000000000000000000,0.00000000000000000000,-9.94664000000000000000,-9.94664000000000000000,29.75915600200000000000,--,2024-06-24 10:20:57
THETA,THETAUSDT,TRADE,BUY,6.58000000000000000000,0.00000000000000000000,1.51250000000000000000,0.00000000000000000000,-0.00658000000000000000,6.58000000000000000000,6.57342000000000000000,20.84342000000000000000,--,2024-06-24 10:13:05
USDT,THETAUSDT,TRADE,BUY,-9.95225000000000000000,0.00000000000000000000,1.51250000000000000000,0.00000000000000000000,0.00000000000000000000,-9.95225000000000000000,-9.95225000000000000000,39.70579600200000000000,--,2024-06-24 10:13:05
JUP,JUPUSDT,TRADE,BUY,13.77000000000000000000,0.00000000000000000000,0.72620000000000000000,0.00000000000000000000,-0.01377000000000000000,13.77000000000000000000,13.75623000000000000000,38.73123000000000000000,--,2024-06-24 10:12:02
USDT,JUPUSDT,TRADE,BUY,-9.99977400000000000000,0.00000000000000000000,0.72620000000000000000,0.00000000000000000000,0.00000000000000000000,-9.99977400000000000000,-9.99977400000000000000,49.65804600200000000000,--,2024-06-24 10:12:02
WLD,WLDUSDT,TRADE,BUY,3.53000000000000000000,0.00000000000000000000,2.83500000000000000000,0.00000000000000000000,-0.00353000000000000000,3.53000000000000000000,3.52647000000000000000,8.52147000000000000000,--,2024-06-24 10:10:16
USDT,WLDUSDT,TRADE,BUY,-10.00755000000000000000,0.00000000000000000000,2.83500000000000000000,0.00000000000000000000,0.00000000000000000000,-10.00755000000000000000,-10.00755000000000000000,59.65782000200000000000,--,2024-06-24 10:10:16
1INCH,1INCHUSDT,TRADE,BUY,65.13000000000000000000,0.00000000000000000000,0.38300000000000000000,0.00000000000000000000,-0.06513000000000000000,65.13000000000000000000,65.06487000000000000000,65.06487000000000000000,--,2024-06-24 07:25:56
USDT,1INCHUSDT,TRADE,BUY,-24.94479000000000000000,0.00000000000000000000,0.38300000000000000000,0.00000000000000000000,0.00000000000000000000,-24.94479000000000000000,-24.94479000000000000000,69.66537000200000000000,--,2024-06-24 07:25:56
ETH,ETHUSDT,TRADE,BUY,0.01425000000000000000,0.00000000000000000000,3507.00000000000000000000,0.00000000000000000000,-0.00001425000000000000,0.01425000000000000000,0.01423575000000000000,0.02400597000000000000,--,2024-06-22 03:33:02
USDT,ETHUSDT,TRADE,BUY,-49.97475000000000000000,0.00000000000000000000,3507.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-49.97475000000000000000,-49.97475000000000000000,94.61016000200000000000,--,2024-06-22 03:33:02
BTC,BTCUSDT,TRADE,BUY,0.00003500000000000000,0.00000000000000000000,64270.00000000000000000000,0.00000000000000000000,-0.00000003500000000000,0.00003500000000000000,0.00003496500000000000,0.00108791100000000000,--,2024-06-22 03:23:57
USDT,BTCUSDT,TRADE,BUY,-2.24945000000000000000,0.00000000000000000000,64270.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-2.24945000000000000000,-2.24945000000000000000,144.58491000200000000000,--,2024-06-22 03:23:57
BTC,BTCUSDT,TRADE,BUY,0.00074200000000000000,0.00000000000000000000,64270.00000000000000000000,0.00000000000000000000,-0.00000074200000000000,0.00074200000000000000,0.00074125800000000000,0.00105294600000000000,--,2024-06-22 03:23:57
USDT,BTCUSDT,TRADE,BUY,-47.68834000000000000000,0.00000000000000000000,64270.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-47.68834000000000000000,-47.68834000000000000000,146.83436000200000000000,--,2024-06-22 03:23:57
USDT,,TRANSFER_IN,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,194.52270000000000000000,194.52270000000000000000,194.52270000200000000000,--,2024-06-22 03:22:35
SOL,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00079000000000000000,-0.00079000000000000000,0.00000000000000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.12952516000000000000,0.12952516000000000000,0.16578045000000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00046551000000000000,0.00046551000000000000,0.03625529000000000000,--,2024-06-07 12:12:32
W,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00072000000000000000,-0.00072000000000000000,0.00000000000000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00240064000000000000,0.00240064000000000000,0.03578978000000000000,--,2024-06-07 12:12:32
OP,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00100000000000000000,-0.00100000000000000000,0.00000000000000000000,--,2024-06-07 12:12:32
USDT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00095675000000000000,-0.00095675000000000000,0.00000000200000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00090941000000000000,0.00090941000000000000,0.03338914000000000000,--,2024-06-07 12:12:32
ETHFI,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00205000000000000000,-0.00205000000000000000,15.34000000000000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00931769000000000000,0.00931769000000000000,0.03247973000000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00080446000000000000,0.00080446000000000000,0.02316204000000000000,--,2024-06-07 12:12:32
PORTAL,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00087000000000000000,-0.00087000000000000000,0.00000000000000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00742663000000000000,0.00742663000000000000,0.02235758000000000000,--,2024-06-07 12:12:32
TNSR,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00600000000000000000,-0.00600000000000000000,21.97000000000000000000,--,2024-06-07 12:12:32
CHZ,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00205000000000000000,-0.00205000000000000000,207.74000000000000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00026987000000000000,0.00026987000000000000,0.01493095000000000000,--,2024-06-07 12:12:32
GRT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00982000000000000000,-0.00982000000000000000,0.00000000000000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00275805000000000000,0.00275805000000000000,0.01466108000000000000,--,2024-06-07 12:12:32
MNT,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.01190303000000000000,0.01190303000000000000,0.01190303000000000000,--,2024-06-07 12:12:32
THETA,,--,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00571000000000000000,-0.00571000000000000000,14.27000000000000000000,--,2024-06-07 12:12:32
CHZ,CHZUSDT,TRADE,BUY,173.67000000000000000000,0.00000000000000000000,0.14570000000000000000,0.00000000000000000000,-0.17367000000000000000,173.67000000000000000000,173.49633000000000000000,207.74205000000000000000,--,2024-06-04 11:40:07
USDT,CHZUSDT,TRADE,BUY,-25.30371900000000000000,0.00000000000000000000,0.14570000000000000000,0.00000000000000000000,0.00000000000000000000,-25.30371900000000000000,-25.30371900000000000000,0.00095675200000000000,--,2024-06-04 11:40:07
CHZ,CHZUSDT,TRADE,BUY,34.28000000000000000000,0.00000000000000000000,0.14570000000000000000,0.00000000000000000000,-0.03428000000000000000,34.28000000000000000000,34.24572000000000000000,34.24572000000000000000,--,2024-06-04 11:39:55
USDT,CHZUSDT,TRADE,BUY,-4.99459600000000000000,0.00000000000000000000,0.14570000000000000000,0.00000000000000000000,0.00000000000000000000,-4.99459600000000000000,-4.99459600000000000000,25.30467575200000000000,--,2024-06-04 11:39:55
W,WUSDT,TRADE,SELL,-0.01000000000000000000,0.00000000000000000000,0.68400000000000000000,0.00000000000000000000,0.00000000000000000000,-0.01000000000000000000,-0.01000000000000000000,0.00072000000000000000,--,2024-06-04 00:25:16
USDT,WUSDT,TRADE,SELL,0.00684000000000000000,0.00000000000000000000,0.68400000000000000000,0.00000000000000000000,-0.00000684000000000000,0.00684000000000000000,0.00683316000000000000,30.29927175200000000000,--,2024-06-04 00:25:16
W,WUSDT,TRADE,SELL,-44.33000000000000000000,0.00000000000000000000,0.68400000000000000000,0.00000000000000000000,0.00000000000000000000,-44.33000000000000000000,-44.33000000000000000000,0.01072000000000000000,--,2024-06-04 00:25:16
USDT,WUSDT,TRADE,SELL,30.32172000000000000000,0.00000000000000000000,0.68400000000000000000,0.00000000000000000000,-0.03032172000000000000,30.32172000000000000000,30.29139828000000000000,30.29243859200000000000,--,2024-06-04 00:25:16
STRK,STRKUSDT,TRADE,BUY,29.53000000000000000000,0.00000000000000000000,1.21100000000000000000,0.00000000000000000000,-0.02953000000000000000,29.53000000000000000000,29.50047000000000000000,51.26868000000000000000,--,2024-06-02 09:11:06
USDT,STRKUSDT,TRADE,BUY,-35.76083000000000000000,0.00000000000000000000,1.21100000000000000000,0.00000000000000000000,0.00000000000000000000,-35.76083000000000000000,-35.76083000000000000000,0.00104031200000000000,--,2024-06-02 09:11:06
STRK,STRKUSDT,TRADE,BUY,21.79000000000000000000,0.00000000000000000000,1.21100000000000000000,0.00000000000000000000,-0.02179000000000000000,21.79000000000000000000,21.76821000000000000000,21.76821000000000000000,--,2024-06-02 09:11:06
USDT,STRKUSDT,TRADE,BUY,-26.38769000000000000000,0.00000000000000000000,1.21100000000000000000,0.00000000000000000000,0.00000000000000000000,-26.38769000000000000000,-26.38769000000000000000,35.76187031200000000000,--,2024-06-02 09:11:06
PORTAL,PORTALUSDT,TRADE,SELL,-59.07000000000000000000,0.00000000000000000000,0.97000000000000000000,0.00000000000000000000,0.00000000000000000000,-59.07000000000000000000,-59.07000000000000000000,0.00087000000000000000,--,2024-06-02 06:14:53
USDT,PORTALUSDT,TRADE,SELL,57.29790000000000000000,0.00000000000000000000,0.97000000000000000000,0.00000000000000000000,-0.05729790000000000000,57.29790000000000000000,57.24060210000000000000,62.14956031200000000000,--,2024-06-02 06:14:53
USDT,,TRANSFER_IN,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,3.50000000000000000000,3.50000000000000000000,4.90895821200000000000,--,2024-05-30 09:11:30
USDT,,TRANSFER_OUT,--,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-3.50000000000000000000,-3.50000000000000000000,1.40895821200000000000,--,2024-05-29 10:37:03
HBAR,HBARUSDT,TRADE,BUY,268.90000000000000000000,0.00000000000000000000,0.10542000000000000000,0.00000000000000000000,-0.26890000000000000000,268.90000000000000000000,268.63110000000000000000,547.06239000000000000000,--,2024-05-28 11:27:31
USDT,HBARUSDT,TRADE,BUY,-28.34743800000000000000,0.00000000000000000000,0.10542000000000000000,0.00000000000000000000,0.00000000000000000000,-28.34743800000000000000,-28.34743800000000000000,4.90895821200000000000,--,2024-05-28 11:27:31
HBAR,HBARUSDT,TRADE,BUY,15.67000000000000000000,0.00000000000000000000,0.10542000000000000000,0.00000000000000000000,-0.01567000000000000000,15.67000000000000000000,15.65433000000000000000,278.43129000000000000000,--,2024-05-28 11:27:09
USDT,HBARUSDT,TRADE,BUY,-1.65193140000000000000,0.00000000000000000000,0.10542000000000000000,0.00000000000000000000,0.00000000000000000000,-1.65193140000000000000,-1.65193140000000000000,33.25639621200000000000,--,2024-05-28 11:27:09
EXVG,EXVGUSDT,TRADE,BUY,200.00000000000000000000,0.00000000000000000000,0.15116000000000000000,0.00000000000000000000,-0.20000000000000000000,200.00000000000000000000,199.80000000000000000000,199.80000000000000000000,--,2024-05-27 14:46:32
USDT,EXVGUSDT,TRADE,BUY,-30.23200000000000000000,0.00000000000000000000,0.15116000000000000000,0.00000000000000000000,0.00000000000000000000,-30.23200000000000000000,-30.23200000000000000000,34.90832761200000000000,--,2024-05-27 14:46:32
W,WUSDT,TRADE,SELL,-44.85000000000000000000,0.00000000000000000000,0.60900000000000000000,0.00000000000000000000,0.00000000000000000000,-44.85000000000000000000,-44.85000000000000000000,44.34072000000000000000,--,2024-05-27 13:30:12
USDT,WUSDT,TRADE,SELL,27.31365000000000000000,0.00000000000000000000,0.60900000000000000000,0.00000000000000000000,-0.02731365000000000000,27.31365000000000000000,27.28633635000000000000,65.14032761200000000000,--,2024-05-27 13:30:12
PORTAL,PORTALUSDT,TRADE,BUY,0.01000000000000000000,0.00000000000000000000,0.84550000000000000000,0.00000000000000000000,-0.00001000000000000000,0.01000000000000000000,0.00999000000000000000,59.07087000000000000000,--,2024-05-25 10:29:53
USDT,PORTALUSDT,TRADE,BUY,-0.00845500000000000000,0.00000000000000000000,0.84550000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00845500000000000000,-0.00845500000000000000,37.85399126200000000000,--,2024-05-25 10:29:53
PORTAL,PORTALUSDT,TRADE,BUY,16.57000000000000000000,0.00000000000000000000,0.84550000000000000000,0.00000000000000000000,-0.01657000000000000000,16.57000000000000000000,16.55343000000000000000,59.06088000000000000000,--,2024-05-25 10:29:53
USDT,PORTALUSDT,TRADE,BUY,-14.00993500000000000000,0.00000000000000000000,0.84550000000000000000,0.00000000000000000000,0.00000000000000000000,-14.00993500000000000000,-14.00993500000000000000,37.86244626200000000000,--,2024-05-25 10:29:53
